ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,Status,Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z,Target Pressure (bar)
3790,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,11,2,15.25,6.6,4.5,0.26434329
3791,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,12,2,15.25,6.6,9.8,0.19965295
3792,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,13,2,15.25,8.4,-0.8,0.32557771
3793,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,14,2,15.25,8.4,4.5,0.30241784
3794,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,15,2,15.25,8.4,9.8,0.23541352
3795,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,16,2,15.25,10.2,-0.8,0.28260237
3796,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,17,2,15.25,10.2,4.5,0.26558089
3797,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,18,2,15.25,10.2,9.8,0.21051313
3798,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,19,3,16.1,6.35,-0.8,0.23465988
3799,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,20,3,16.1,6.35,4.5,0.21797736
3800,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,21,3,16.1,6.35,9.8,0.16730922
3801,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,22,4,16.1,6.6,10.1,0.097688265
3802,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,23,4,16.1,8.4,10.1,0.080027796
3803,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,24,4,16.1,10.2,10.1,0.083977617
3804,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,25,5,16.1,10.45,-0.8,0.093838148
3805,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,26,5,16.1,10.45,4.5,0.089442968
3806,15.9,0.2446707,0.6,4,2,0.2,1.6,541,324.4,15,4,11,1.6,29,Subcooled,37.9,-1,152,27,5,16.1,10.45,9.8,0.083506644
3807,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,1,1,19.55,-2.2,-2.2,0.17664543
3808,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,2,1,19.55,-2.2,0.6,0.17456287
3809,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,3,1,19.55,-2.2,3.4,0.23374724
3810,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,4,1,19.55,1.6,-2.2,0.14993452
3811,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,5,1,19.55,1.6,0.6,0.19100565
3812,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,6,1,19.55,1.6,3.4,0.11295474
3813,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,7,1,19.55,5.4,-2.2,0.094354562
3814,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,8,1,19.55,5.4,0.6,0.084286444
3815,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,9,1,19.55,5.4,3.4,0.16003831
3816,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,10,2,17.05,-2.2,-2.2,1.3965398
3817,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,11,2,17.05,-2.2,0.6,1.3652344
3818,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,12,2,17.05,-2.2,3.4,1.259058
3819,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,13,2,17.05,1.6,-2.2,0.86347467
3820,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,14,2,17.05,1.6,0.6,0.87080485
3821,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,15,2,17.05,1.6,3.4,0.74547338
3822,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,16,2,17.05,5.4,-2.2,0.77055568
3823,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,17,2,17.05,5.4,0.6,0.75693953
3824,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,18,2,17.05,5.4,3.4,0.68856084
3825,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,19,3,18.3,-2.45,-2.2,0.67277682
3826,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,20,3,18.3,-2.45,0.6,0.66481256
3827,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,21,3,18.3,-2.45,3.4,0.60713625
3828,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,22,4,18.3,-2.2,3.7,0.48434609
3829,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,23,4,18.3,1.6,3.7,0.32263851
3830,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,24,4,18.3,5.4,3.7,0.26847664
3831,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,25,5,18.3,5.65,-2.2,0.2610696
3832,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,26,5,18.3,5.65,0.6,0.25902405
3833,29.6,0.1886352,2.2,4,2,1.6,1.6,379,409.3,16,8,6,2.4,6,Subcooled,37.9,-1,152,27,5,18.3,5.65,3.4,0.27009165
3834,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,1,1,18.75,-4.1,-2,0.089953981
3835,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,2,1,18.75,-4.1,3.3,0.09181992
3836,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,3,1,18.75,-4.1,8.6,0.085756741
3837,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,4,1,18.75,2.2,-2,0.036799617
3838,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,5,1,18.75,2.2,3.3,0.043893218
3839,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,6,1,18.75,2.2,8.6,0.03611182
3840,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,7,1,18.75,8.5,-2,0.058732789
3841,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,8,1,18.75,8.5,3.3,0.049379323
3842,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,9,1,18.75,8.5,8.6,0.042474542
3843,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,10,2,16.05,-4.1,-2,0.31119078
3844,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,11,2,16.05,-4.1,3.3,0.30071023
3845,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,12,2,16.05,-4.1,8.6,0.16695647
3846,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,13,2,16.05,2.2,-2,0.3314372
3847,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,14,2,16.05,2.2,3.3,0.24742815
3848,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,15,2,16.05,2.2,8.6,0.17932448
3849,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,16,2,16.05,8.5,-2,0.42658392
3850,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,17,2,16.05,8.5,3.3,0.3051244
3851,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,18,2,16.05,8.5,8.6,0.15939964
3852,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,19,3,17.4,-4.35,-2,0.23742928
3853,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,20,3,17.4,-4.35,3.3,0.24207009
3854,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,21,3,17.4,-4.35,8.6,0.13112299
3855,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,22,4,17.4,-4.1,8.9,0.097911932
3856,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,23,4,17.4,2.2,8.9,0.069207005
3857,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,24,4,17.4,8.5,8.9,0.06856671
3858,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,25,5,17.4,8.75,-2,0.11039126
3859,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,26,5,17.4,8.75,3.3,0.09417282
3860,21.4,0.7241815,2.2,2.8,1,2,0.4,314.4,396.6,15,13,11,2.6,8,Superheated,37.9,-1,152,27,5,17.4,8.75,8.6,0.06797912
3861,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,1,1,8.95,-2.7,-1.8,0.31764716
3862,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,2,1,8.95,-2.7,-0.5,0.32762367
3863,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,3,1,8.95,-2.7,0.8,0.46321937
3864,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,4,1,8.95,1.6,-1.8,0.56391472
3865,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,5,1,8.95,1.6,-0.5,0.33333179
3866,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,6,1,8.95,1.6,0.8,0.16378371
3867,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,7,1,8.95,5.9,-1.8,0.12816815
3868,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,8,1,8.95,5.9,-0.5,0.14935769
3869,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,9,1,8.95,5.9,0.8,0.24732161
3870,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,10,2,6.05,-2.7,-1.8,6.4926662
3871,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,11,2,6.05,-2.7,-0.5,4.5788417
3872,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,12,2,6.05,-2.7,0.8,2.7116487
3873,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,13,2,6.05,1.6,-1.8,6.9162183
3874,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,14,2,6.05,1.6,-0.5,4.945827
3875,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,15,2,6.05,1.6,0.8,2.5856404
3876,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,16,2,6.05,5.9,-1.8,2.6657283
3877,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,17,2,6.05,5.9,-0.5,1.8461764
3878,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,18,2,6.05,5.9,0.8,1.2416699
3879,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,19,3,7.5,-2.95,-1.8,1.9127796
3880,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,20,3,7.5,-2.95,-0.5,1.8394998
3881,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,21,3,7.5,-2.95,0.8,1.4373738
3882,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,22,4,7.5,-2.7,1.1,0.86799186
3883,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,23,4,7.5,1.6,1.1,0.67952454
3884,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,24,4,7.5,5.9,1.1,0.4708066
3885,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,25,5,7.5,6.15,-1.8,0.50248981
3886,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,26,5,7.5,6.15,-0.5,0.48397267
3887,25.6,0.5096293,2.2,8.8,2.6,1.4,1.2,458,391.8,5,9,3,2.8,18,Subcooled,37.9,-1,152,27,5,7.5,6.15,0.8,0.47228366
3888,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,1,1,12.45,-4.9,-1.8,0.10130768
3889,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,2,1,12.45,-4.9,4,0.076438963
3890,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,3,1,12.45,-4.9,9.8,0.078986824
3891,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,4,1,12.45,0.4,-1.8,0.059672002
3892,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,5,1,12.45,0.4,4,0.054780673
3893,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,6,1,12.45,0.4,9.8,0.035975192
3894,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,7,1,12.45,5.7,-1.8,0.055594474
3895,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,8,1,12.45,5.7,4,0.039035238
3896,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,9,1,12.45,5.7,9.8,0.055622306
3897,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,10,2,11.55,-4.9,-1.8,0.44651005
3898,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,11,2,11.55,-4.9,4,0.23289292
3899,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,12,2,11.55,-4.9,9.8,0.19751018
3900,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,13,2,11.55,0.4,-1.8,0.58079851
3901,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,14,2,11.55,0.4,4,0.27373329
3902,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,15,2,11.55,0.4,9.8,0.22793916
3903,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,16,2,11.55,5.7,-1.8,0.43172282
3904,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,17,2,11.55,5.7,4,0.22607359
3905,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,18,2,11.55,5.7,9.8,0.19398147
3906,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,19,3,12,-5.15,-1.8,0.229397
3907,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,20,3,12,-5.15,4,0.14261083
3908,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,21,3,12,-5.15,9.8,0.12080137
3909,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,22,4,12,-4.9,10.1,0.088845849
3910,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,23,4,12,0.4,10.1,0.085452326
3911,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,24,4,12,5.7,10.1,0.086213544
3912,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,25,5,12,5.95,-1.8,0.16731541
3913,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,26,5,12,5.95,4,0.10064277
3914,13.9,0.2469655,1.2,3,1,1.6,0.8,359.9,338.2,11,11,12,0.8,2,Superheated,42.5,-42,96.7,27,5,12,5.95,9.8,0.091895476
3915,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,1,1,9.35,-7.6,-1.6,0.089475662
3916,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,2,1,9.35,-7.6,1.7,0.086324923
3917,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,3,1,9.35,-7.6,5,0.070623532
3918,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,4,1,9.35,0.2,-1.6,0.036980987
3919,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,5,1,9.35,0.2,1.7,0.031840306
3920,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,6,1,9.35,0.2,5,0.039711107
3921,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,7,1,9.35,8,-1.6,0.036644943
3922,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,8,1,9.35,8,1.7,0.044520665
3923,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,9,1,9.35,8,5,0.045065243
3924,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,10,2,6.65,-7.6,-1.6,0.5313397
3925,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,11,2,6.65,-7.6,1.7,0.28023449
3926,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,12,2,6.65,-7.6,5,0.26623508
3927,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,13,2,6.65,0.2,-1.6,1.1530418
3928,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,14,2,6.65,0.2,1.7,0.54704475
3929,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,15,2,6.65,0.2,5,0.51283038
3930,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,16,2,6.65,8,-1.6,0.50446218
3931,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,17,2,6.65,8,1.7,0.26986423
3932,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,18,2,6.65,8,5,0.25185668
3933,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,19,3,8,-7.85,-1.6,0.24839894
3934,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,20,3,8,-7.85,1.7,0.21630023
3935,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,21,3,8,-7.85,5,0.12342711
3936,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,22,4,8,-7.6,5.3,0.095446907
3937,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,23,4,8,0.2,5.3,0.13263448
3938,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,24,4,8,8,5.3,0.091938086
3939,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,25,5,8,8.25,-1.6,0.11817604
3940,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,26,5,8,8.25,1.7,0.10193308
3941,11.5,0.4423211,1.4,2.8,1.2,1.4,0.8,388.2,366.7,6,16,7,2.6,1,Superheated,42.5,-42,96.7,27,5,8,8.25,5,0.092709064
3942,6.8,0.2532751,0.6,9.4,2.6,0.2,2,397.3,361.4,10,3,7,2.6,0,Superheated,37.9,-1,152,1,1,12.95,-1.3,-1,0.1413312
3943,6.8,0.2532751,0.6,9.4,2.6,0.2,2,397.3,361.4,10,3,7,2.6,0,Superheated,37.9,-1,152,2,1,12.95,-1.3,2.3,0.14116871
3944,6.8,0.2532751,0.6,9.4,2.6,0.2,2,397.3,361.4,10,3,7,2.6,0,Superheated,37.9,-1,152,3,1,12.95,-1.3,5.6,0.14131032
3945,6.8,0.2532751,0.6,9.4,2.6,0.2,2,397.3,361.4,10,3,7,2.6,0,Superheated,37.9,-1,152,4,1,12.95,0,-1,0.17848006
3946,6.8,0.2532751,0.6,9.4,2.6,0.2,2,397.3,361.4,10,3,7,2.6,0,Superheated,37.9,-1,152,5,1,12.95,0,2.3,0.17221108
3947,6.8,0.2532751,0.6,9.4,2.6,0.2,2,397.3,361.4,10,3,7,2.6,0,Superheated,37.9,-1,152,6,1,12.95,0,5.6,0.20346493
